Sentiment,id,Date,Query,User,Tweet
4,1989564038,Mon Jun 01 02:00:20 PDT 2009,NO_QUERY,kijjaz,rt @YashimaExteen: ถ้า MS งอน ไม่ทำ OS ขึ้นมาจะเป็นไงบ้างหว่า  &gt;&gt; Windows XP เถื่อนจะยังขายต่อไป �?ละเด็�?ๆ�?็ยังติด hi5 งอม�?งม
0,2174804075,Sun Jun 14 23:21:15 PDT 2009,NO_QUERY,ifuller1,@UrsulaJefferson yeah - not good for FBI - hope they can keep going
0,1882466409,Fri May 22 06:55:31 PDT 2009,NO_QUERY,saxbabe,Argh! I'm peeling  All that applying cream was for nothing.  The only plus is that it will reduce the horrible tans lines I got.
0,2259724297,Sat Jun 20 18:03:30 PDT 2009,NO_QUERY,BigBreadCed,@prettiwhitt where are you
4,2066153488,Sun Jun 07 09:59:27 PDT 2009,NO_QUERY,luis_k,"@charlesatan Thanks!  Friends have been teasing me about being an editor on a &quot;girlie magazine,&quot; he he. But wait til they see the New UNO!"
4,2056534645,Sat Jun 06 11:19:19 PDT 2009,NO_QUERY,taisoliveira,@tommcfly i think will be great!
4,2015504023,Wed Jun 03 04:50:19 PDT 2009,NO_QUERY,robin_parker,@I_am_Heather Tickets are on sale on Friday for their Autumn tour - got to get me some of that
0,2282653333,Mon Jun 22 11:38:24 PDT 2009,NO_QUERY,SasMelody,"Just watched Saw 2 with Teddy, ewww.. horrible "
4,2001733533,Tue Jun 02 01:53:16 PDT 2009,NO_QUERY,RadiantMarie,I'm OBSESSED with Anthony Bourdain: No Reservations.
0,1548743556,Fri Apr 17 21:50:26 PDT 2009,NO_QUERY,notsriy,Just had half of my medical tests done today for going to China. . ... Not a fun experience.
4,1822866207,Sat May 16 20:34:11 PDT 2009,NO_QUERY,MissKitty1923,@jsmithready I certainly miss my kitty's when I am away. Have a good night.
4,1968000024,Fri May 29 20:35:04 PDT 2009,NO_QUERY,walker_hagius,@Dave_MB Lucky! I want to go to Buddy's.  I want crazy garlicky salad in a wooden mesh bowl while sitting at an off level table.
4,1836313176,Mon May 18 07:46:23 PDT 2009,NO_QUERY,teriann95,"@jordanknight Hey Jordan, I'm ready!! I am so there, i can't wait!! "
4,2052292514,Sat Jun 06 00:14:53 PDT 2009,NO_QUERY,sakbaboy,hey tweeeps how r y'all ?
0,2194351771,Tue Jun 16 09:40:46 PDT 2009,NO_QUERY,chrissi1979,bbbbbboooored today. Have come to the awful conclusion that I have no proper friends.
0,2229368276,Thu Jun 18 15:38:10 PDT 2009,NO_QUERY,Prettybaby891,"Wondering if im PMSing because when i saw that i started to tear up  poor guy, i feel so guilty now."
0,2191435534,Tue Jun 16 05:16:12 PDT 2009,NO_QUERY,MelFrame,Girl set to become Mum at 12... I couldn't even keep my silkworms alive when I was 12. I remember once I accidentally killed 8 in one go
4,2189660809,Tue Jun 16 00:34:42 PDT 2009,NO_QUERY,esty,@lukewallace that is one awesome find... f@#ken awesome
4,1969984782,Sat May 30 01:59:31 PDT 2009,NO_QUERY,demiworld,I have to go! bbye everyone! Let's talk later  thanks for those who followed me today! love you all!
4,2045031272,Fri Jun 05 10:08:17 PDT 2009,NO_QUERY,JessWilbur,@lancearmstrong He is so precious! And already tweeting? You must be so proud!  congrats!
0,2214264530,Wed Jun 17 16:29:54 PDT 2009,NO_QUERY,kikukaling,can't believe how expensive groceries are nowadays. what the haay
4,2189775465,Tue Jun 16 00:52:40 PDT 2009,NO_QUERY,sivan_yaish,@MissRasmus good morning
4,1754351566,Sun May 10 05:58:09 PDT 2009,NO_QUERY,JaninaBiina,@HaleyBangs haha ohh yeahh the ass one is the best i got'em all in svz- take a look!!!  &lt;3
4,1573947747,Tue Apr 21 03:36:12 PDT 2009,NO_QUERY,Get1more,"I feel like a right tourist snapping away, here's towerbridge!!!  http://twitpic.com/3phfa"
4,1468787821,Tue Apr 07 03:44:15 PDT 2009,NO_QUERY,anm102,Its a great day for a sox game
4,2015752564,Wed Jun 03 05:26:16 PDT 2009,NO_QUERY,zuppalizzle,ohh he's a pommy?
0,1975630668,Sat May 30 15:33:58 PDT 2009,NO_QUERY,djgrahamy,@DavidArchie there's no hope for me
4,1997581616,Mon Jun 01 17:05:58 PDT 2009,NO_QUERY,nicole_smithh,@David_Henrie call selena!
0,2031240391,Thu Jun 04 09:32:06 PDT 2009,NO_QUERY,jpierce0913,@RetroRewind very sorry to hear that
0,2301934352,Tue Jun 23 16:06:36 PDT 2009,NO_QUERY,hibelu,"@moltenpanther No, don't do that. "
4,1822539675,Sat May 16 19:48:42 PDT 2009,NO_QUERY,PetPrincessTpa,My pups are really hyper tonight.... Watching them run around the sofa and kitchen table... lol...sooo cute..
0,2060247191,Sat Jun 06 18:32:36 PDT 2009,NO_QUERY,LovinJK4ever,@Jessicaca damn no way I can swing that.
